tweettextcleaned,sentiment
"Good afternoon everyone! If anyone has any chart requests, questions about trading/trading psychology, or about subscribing to the private twitter, please feel free to ask! Sign up $AAPL $SPY $AMZN $FB $TSLA $SPX $BA $NFLX $NVDA $GOOGL $ZM $SPCE $NIO",2
There are roughly 250 trading days a year - $100 a day = 25K - $200 a day = 50K - $400 a day = 100K - $500 a day = 125K - $1000 a day = 250K You do not need to hit home runs every day to grow your account,2
"Thanks for the mention, DT! Hagw",2
Thanks Panda Have a great weekend everyone!,2
Thank you for the mention TS! We look forward to being on the show with you this weekend. HAGW all!,2
"Thank you for the mention, Jim! HAGW",2
3 Month Giveaway ($447 Value!) We're giving away 3 months of our service! To Enter! Follow Retweet and Like this post Tag 3 Friends (Comments) --- GIVEAWAY GIVEAWAYS optionstrading options trading $NIO $AAPL $TSLA $GOOGL $AMZN $ZM $SPX $SPCE,2
"Thanks to your education, Im able to provide the life for my family I never could have imagined as a carpenter. Instead of just building homes for others, Im now able to start building one for my family. Thank you for everything",2
"This is EliteOptions getting you big gains, teaching you the correct levels to maximize profit, and to lock in your gains. My basket of Chinese EVs I bought early thanks to John and Brando, and exited right near the top. Held 1 NIO contract for next week. Ty again!",2
"$NIO nice run to 54 but got rejected at 50 and 52.. unless this can move back above 52 early next week, it might be done for a while $SPX at 3562, still in a tight range today.. watch to see if it can test 3588 later today $TSLA weak, if this fails at 400 it can drop 20 pts",0
Good morning! $SPX continue to watch 3588. breakout level for more upside to 3633+ $NIO what a beast.. gapping up to 50+.. it touched 52 premarket.. if this can close through 52 it can move towards 58-61 Have a great day everyone!,2
Never settle for an easy life.,0
"Good evening! $SPX closed at 3537 It's consolidating above 3500 I would consider calls above 3553 Target 3588 I would consider puts under 3525 Target 3500,3477 $NIO setting up for 50-52 tmrw. if NIO can close above 52 it should test 58 next week. 52C can work Have a GN!",2
"City Of Chicago Issues 30-Day Stay At Home Order, Effective Nov. 16",0
$NIO strong with the market moving lower.. it finally broke above 47... 50-52 coming soon,2
Powell speaking soon,1
$DOCU strong.. broke above 200 hit 212 target.. if this breaks above 217 it can run another 10-12 points $NIO setting up for 50-52 next.. needs to close above 47 to move towards 52,2
"Good morning! $SPX can continue to trade in a range until it breaks above 3588, keep an eye on that level $ZM strong gapping up 10 points.. above 424 can move towards 446+. Let's see if the covid stocks can lead a move higher into Friday Good luck everyone!",2
The problem with most traders is that they don't know when to WAIT when the mkt is slow and when to ATTACK when there is strong momentum. This is what separates the amateurs from the experienced traders. Learn to identify momentum and you will separate yourself from everyone else,0
$ZM - Trade Idea - Nov 13 430C - bid/ask 4.40/4.80 Closed at 413.34 today after reclaiming the 400 level. If ZM breaks above 424 it can run to 436-446 next. Puts under 400 can work. - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $NVDA $BYND $SNAP $NFLX $SPCE,2
"Good evening! $SPX closed at 3572 today. I would consider calls above 3588 Target 3633 I would consider puts under 3553 Target 3500 $QQQ started to show some strength after the 2 day pull back from 298 to 280. If 289 holds.. 293,298 can come next week Have a GN!",2
$ZM broke through 400 it moved up 19 points.. now back down 13.. lets see if it can test the highs again.. under 400 will be a harder trade for calls $SPX still stuck in a range but getting closer to 3588,0
$SPX at 3575.. still needs above 3588+ to trigger a bigger run $QQQ above 289 can move towards 293 $ZM if this can close above 400 it will set up for a 20-30 pt move into Friday,0
"Good morning! $SPX setting up to test 3588 lets see if it can close above on the daily chart.. under 3525 can trigger a sell off $DOCU gapping above 200.. 207,212 can come if it defends the 200 level $BA above 192 can test 200 Good luck everyone!",2
Good evening! $SPX continuing to pull back after touching 3644 on Mon. Keep an eye on 3588 I would consider calls above 3553 Target 3588 I would consider puts under 3525 Target 3477 $DOCU if this breaks above 200 it can test 212-217. 205C can work above 200 Have a GN!,0
"$SPX held above 3525 so far, needs through 3553 to test 3588 next $NVDA down 70 after testing near 589.. let's see if it can close above 525 next. $ZM if this can bounce above 400 it can run another 20-30 points this week",0
"Good morning! $SPX can continue lower if it doesn't close above 3588 by Friday.. under 3500 can drop another 80 points $SHOP if this can hold above 900 it can move back towards 954+ next $NIO almost flat with futures down, needs to close above 44 today Good luck everyone!",0
You need to learn to properly size your positions to be a successful options trader. There is more knowledge gained from seeing 50-100 trades utilizing a smaller % of your acc than betting 20-50% on one trade hoping that it works. Your 1 goal of trading is to learn AND survive.,0
"Good evening! $SPX tested the previous all time high at 3588 but failed I would consider calls above 3588 Target 3633 I would consider puts under 3553 Target 3525,3500 $NIO another strong day.. It needs to continue to hold above 44 to move to 47.33,50.37 next Have a GN!",0
BEYOND MEAT AND MCDONALD'S CO-CREATED THE PLANT-BASED PATTY WHICH WILL BE AVAILABLE AS PART OF THEIR MCPLANT PLATFORM - BEYOND MEAT SPOKESPERSON,1
"$NIO holding above 44 so far.. above 47 can run to 50-52 next $WYNN broke above 100 now near 103.. setting up for 105-109 again $SPX holding above 3600, needs to close above this level to run another 30 pts",2
Good morning! $SPX setting up for a run towards 3700+... Pfizer+ Biontech say there covid-19 vaccine is more than 90% effective Rotation back into airline/cruise line/casino/bank stocks.. let's see if $WYNN can break above 100 and test 109 this week Good luck everyone!,2
"Two-Day Risk-Free Trial To Sign Up - Visit - Login, Subscribe and Pay - If you are not satisfied, you will be fully refunded Are you ready To Trade With Insight? -- $AMZN $AMD $BA $BABA $SNAP $FB $AAPL $GOOGL $NFLX $ROKU $TSLA $SPX $SPY $DKNG $ZM",2
Remember to let the trades come to you rather than forcing trades in difficult market conditions. Our members were rewarded for their patience this week. Were looking forward to more opportunities in November,0
"$NIO - Trade Idea - Nov 13 44C - bid/ask 1.48/1.49 Closed at 41.63 on Friday NIO above 44 can move to 50-52. If we see a pullback, 32-35 could be a good entry for calls. - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $NKLA $ZM $NVDA $BYND $SNAP $SQ $NFLX $SPCE",2
"$DKNG - Trade Idea - Nov 13 45C - bid/ask 1.35/1.45 Closed at 42.32 on Friday. Dropped from 64 to 34 in October. Above 44.78 can test 47, 50 next. Earnings 13th after-hours (5 pt move priced in) - $AMZN $AAPL $AMD $SPCE $BABA $FB $TSLA $MSFT $ROKU $NIO $SPY",0
$SQ - Trade Idea - Nov 13 205C - bid/ask 3.30/3.45 Closed at 198.08 on Friday If the market pulls back it would be best to see SQ hold 191-193 SQ above 200 can run towards 213-217. - $AMZN $AAPL $AMD $NIO $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $SPCE $COST $ZM $NVDA $BYND,0
$PINS - Swing Trade Idea - Dec 4 69C - bid/ask 2.16/2.61 Closed at 64.74 on Friday Pulled back from 68 to 56 after earnings and has reclaimed the 63 level. Above 69 can move to 74-77. - $AMZN $AAPL $AMD $NIO $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $SPCE $SNAP $ZM $NVDA $BYND,2
"Good afternoon everyone! If anyone has any chart requests, questions about trading/trading psychology, or about subscribing to the private twitter, please feel free to ask! Sign up $AAPL $SPY $AMZN $FB $TSLA $SPX $BA $NFLX $NVDA $GOOGL $ZM $BABA $AMD",2
"Thanks for the mention, Jake and TS! Hope you all had a great week and have a relaxing weekend.",2
Thanks for the mention Panda! Have a great weekend everyone.,2
Words cant describe how much my life has changed in 2020.. I started the year working a 9-5 that never brought me any fulfillment. I now wake up every day with a smile on my face. I couldnt have done any of this without you. Cheers to 3M,2
"If youre reading this tweet and havent joined and are losing money, you are doing it wrong. You learn to trade. The alerts are great, but you learn to make the trade before you even get the alert, and thats the sign of a great mentor and community. Sign up",2
"Big shoutout to . Tiny $200 account on Monday is a little bigger sitting at $700+ on Friday. No crazy indicators, or fancy strategies just S/R and volume. Aside from the best S/R levels the community is very fun, active and knowledgeable. Found my home-thanks guys!",2
Patience can be your strongest asset if you know how to utilize it. We absolutely crushed it this week! $TSLA 410C $9.40 -&gt; $30.50 $NVDA 520C $7.80 -&gt; $62.37 $NVDA 550C $4.00 -&gt; $32.60 $GOOGL 1750C $10.80 -&gt; $43.56 $ROKU 245C $2.70 -&gt; $10.45,2
"$SPX still under 3525, it needs above this level to trigger a run towards all time highs next week $ROKU setting up for 255-258 next, $SQ if this breaks through 200 it can run another 15-18 points next week",0
"Good morning! $SPX no gap up for the first time this week.. let's see if it can go red to green and get through yesterdays highs.. under 3500 can trigger a pull back towards 3477 $SQ up 9 after earnings, possible to see 191-193 if it holds above 181 Good luck everyone!",0
Failure is lifes greatest teacher.,0
Good evening! $SPX gapped up 4 days in a row. SPX is now at 3510 I would consider calls above 3525 Target 3553 I would consider puts under 3491 Target 3458 $NIO what a move this week.. if this breaks above 44 it can run to 50-52 next. 45C can work tomorrow Have a GN!,2
Fed Leaves Rates Unchanged Fed Says US Economy Continues To Recovery,2
This tweet aged well... $NIO just hit 40 target.. 44 can come next $NVDA broke above 555.. needs above 574 to run towards 600 next,2
$SPX defended 3500 so far.. FOMC statement/interest rate decision later today at 11am PST followed by a press conference at 1130am.. let's see if this moves the market $AMZN 3400c can work if it can break above 3344+,1
$SPX at 3520.. still holding above 3500 so far.. if it breaks above 3553 it can test 3588(ATH) $AMZN gap up above 3300.. if this can close above 3344 it can test 3400 next $TSLA back above 432.. 450 can come if it closes above 432,2
"Good morning! Another big gap up today.. $SPX wants to move towards 3588 next.. lets see if it can hold break and hold above 3500 $ZM up 11, if this breaks through 500 it can run another 25-30 points $AAPL possible to see 122 by tomorrow Good luck everyone!",2
Volume up,1
When you lay down some fire trades after sitting on your hands for weeks,2
$ZM - Trade Idea - Nov 6 500C - bid/ask 5.20/5.40 Closed at 483.70 today Gapped up 25 pts today and closed above the 477 level Watch to see if ZM can continue to hold 477 and make a run towards 500. - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $SPCE $GOOGL $SQ,2
Good evening! $SPX closed at 3443. SPX needs to hold above 3426 to test 3500 I would consider calls above 3458 Target 3491 I would consider puts under 3426 Target 3393 $SQ reports their earnings tmrw. SQ can move 13-15 pts after earnings. The 185C can work Have a GN!,0
"We look forward to having you with us, Paul!",2
"I could post the gains Ive gotten from but the techniques and knowledge far outweigh those gains. They are definitely some high % gains, but you have a group that is filled with brilliant, knowledgeable, and a supportive team. Ty for letting me be a member!",2
"$SPX stuck in a range for the past few hours.. needs over 3500 to set up for a move towards 3588 next.. SPX under 3426 can trigger a bigger sell off $NVDA if this closes above 555 it can move to 574,600",0
1 month*,1
These $NIO Dec 4 34C are at $7 from $2.70 so far.. 2 months left to work as well,0
"Strong move on $SPX.. moved to 3472 now down 20+.. lets see if SPX can continue to hold above 3426 this week $GOOGL big breakout above 1700.. if this closes above 1725 it can move to 1800+ $AAPL needs 116 to test 119,122..",2
"Good morning! $SPX setting up for a move towards 3458-3477 next, under 3426 can pull back to 3393 $NIO gapping up 2 points.. if 36 can hold it can move towards 40-44 $NVDA up 18.. possible to see 555+ next .. under 534 can test 525 Good luck everyone!",2
"Good evening! $SPX closed at 3368. The market made a strong rally into the election tonight I would consider calls above 3355 Target 3426 I would consider puts under 3337 Target 3300 $NIO strong run this week. If this breaks above 36 it can test 39.71,44.05 Have a GN!",2
"$ROKU moving lower.. just broke under 200 Comcast in Talks With Walmart to Develop and Distribute Smart TVs, Sources Say",0
$NIO if it breaks through 36 it can run to 40.. strong move today up 6.5% $SPX didn't break above 3393 now at 3373.. slower price movement now $ZM still not ready to move higher yet.. if it closes under 450 it can pull back towards 424.. needs over 461 to consider calls,2
"$SPX strong rally at the open.. broke above 3337 now at 3380.. if SPX can break above 3393 it can test 3426 $TSLA above 420 can run to 432,450 next.. needs to close above 420 today $NIO held 32.. 35-36 next levels to break above",2
